features,layers,momentum,mean_score,std_score
2,10,0.9,0.6681267151891183,0.12753515830091952
3,2,0.0,0.6845805989738695,0.08406964318073414
3,2,0.3,0.6769693354015034,0.07217851283380049
3,2,0.1,0.6970659825796444,0.030341327546554726
3,2,0.5,0.6877079107505071,0.05197556170829703
3,2,0.9,0.6362820665791671,0.1557961462887809
3,3,0.0,0.6379978522849301,0.10730808433562479
3,3,0.3,0.6925569741081016,0.047372964054683706
3,3,0.1,0.678374895597184,0.0811020469873409
3,3,0.5,0.7032633337310583,0.03155065773113997
3,3,0.9,0.6532024818040807,0.11615094696154564
3,5,0.0,0.6836427633933898,0.08779262867556194
3,5,0.3,0.6468762677484787,0.10137322551860313
3,5,0.1,0.6735079346140078,0.08964947726751846
3,5,0.5,0.6788044386111441,0.05760679712295199
3,5,0.9,0.6556389452332657,0.12281723580021923
3,8,0.0,0.6503245436105476,0.12105282438106836
3,8,0.3,0.6066400190908006,0.1172720300724912
3,8,0.1,0.5920904426679393,0.13603260512667623
3,8,0.5,0.6780133635604344,0.07832938407001953
3,8,0.9,0.6337143538957164,0.14120705228908223
3,10,0.0,0.6061555900250567,0.12105762599391146
3,10,0.3,0.660150340054886,0.08252723874942765
3,10,0.1,0.6514401622718052,0.09750371086942702
3,10,0.5,0.7070934256055363,0.013945973844059443
3,10,0.9,0.7119233981625104,0.006282551082465118
4,2,0.0,0.5839613411287435,0.17265506658283716
4,2,0.3,0.7060541701467605,0.013098000606869007
4,2,0.1,0.6583760887722229,0.10748286614332168
4,2,0.5,0.690823290776757,0.055757530552682205
4,2,0.9,0.7150280396134112,0.0012349361651354251
4,3,0.0,0.6394952869585968,0.13824596190922603
4,3,0.3,0.6454957642286123,0.12082623871808644
4,3,0.1,0.6559694547190072,0.08902993574086462
4,3,0.5,0.6826106669848466,0.06238019207215202
4,3,0.9,0.7150268464383724,0.0014849656577609312
4,5,0.0,0.6057988306884619,0.15631247801453754
4,5,0.3,0.6243240663405323,0.12519033939385016
4,5,0.1,0.6265374060374657,0.11433558509534297
4,5,0.5,0.6731643002028398,0.08003177620238228
4,5,0.9,0.6519233981625103,0.1299542771025118
4,8,0.0,0.635217754444577,0.14233955489651134
4,8,0.3,0.6836105476673427,0.050332700781983285
4,8,0.1,0.6399546593485265,0.11037449430561817
4,8,0.5,0.6217038539553752,0.1122830715867364
4,8,0.9,0.6462844529292446,0.13669640318019716
4,10,0.0,0.670817324901563,0.0774271938713334
4,10,0.3,0.6967187686433599,0.02538037175836604
4,10,0.1,0.6676995585252357,0.08876195159571129
4,10,0.5,0.6853382651234936,0.04474487396952043
4,10,0.9,0.7081195561388856,0.009734142886975666
5,2,0.0,0.5832048681541582,0.19313161184727415
5,2,0.3,0.6846593485264287,0.04516952838504633
5,2,0.1,0.6804295430139601,0.09998947681272463
5,2,0.5,0.7091647774728551,0.016897227795388197
5,2,0.9,0.6717754444577019,0.1293513802349155
5,3,0.0,0.5357737740126477,0.16886071306659015
5,3,0.3,0.646379906932347,0.12441356733039326
5,3,0.1,0.7146820188521655,0.001322124628382947
5,3,0.5,0.7136487292685836,0.006424722875582079
5,3,0.9,0.6704211907886887,0.10736838794216529
5,5,0.0,0.66253907648252,0.09029227181594666
5,5,0.3,0.6918625462355328,0.045786866663197305
5,5,0.1,0.6469216083999523,0.07650055439405534
5,5,0.5,0.7126118601598853,0.004299220112727285
5,5,0.9,0.6076625700990335,0.1664600433594115
5,8,0.0,0.6575945591218232,0.10045815458441273
5,8,0.3,0.658052738336714,0.07368064009210014
