features,layers,momentum,mean_score,std_score
3,5,0,0.711916239,0.005200075
3,5,0.3,0.709848467,0.007871118
3,5,0.1,0.7067307,0.010091418
3,5,0.5,0.711573798,0.006302791
3,5,0.9,0.71502804,0.001234936
3,8,0,0.713303902,0.004798421
3,8,0.3,0.708461997,0.00729764
3,8,0.1,0.710890109,0.011818974
3,8,0.5,0.712268226,0.006648923
3,8,0.9,0.714337191,0.001852353
3,10,0,0.711917432,0.005133387
3,10,0.3,0.71364515,0.003140904
3,10,0.1,0.712607087,0.004868976
3,10,0.5,0.714683212,0.001856583
3,10,0.9,0.71502804,0.001234936
4,2,0,0.711917432,0.006563608
4,2,0.3,0.712610667,0.004640658
4,2,0.1,0.711922205,0.004595446
4,2,0.5,0.711231357,0.008570077
4,2,0.9,0.712959074,0.005768024
4,3,0,0.692895836,0.031631629
4,3,0.3,0.712957881,0.005618461
4,3,0.1,0.697426321,0.014392206
4,3,0.5,0.711225391,0.004456249
4,3,0.9,0.714682019,0.001322125
4,5,0,0.703979239,0.012081119
4,5,0.3,0.70881995,0.010248679
4,5,0.1,0.709162391,0.010416613
4,5,0.5,0.712951915,0.002974771
4,5,0.9,0.713646343,0.002603349
4,8,0,0.711234936,0.007072033
4,8,0.3,0.708473929,0.016784392
4,8,0.1,0.711923398,0.006826772
4,8,0.5,0.713647536,0.003635731
4,8,0.9,0.71502804,0.001234936
4,10,0,0.714683212,0.001856583
4,10,0.3,0.713303902,0.00570415
4,10,0.1,0.713989977,0.001967265
4,10,0.5,0.713992364,0.002693459
4,10,0.9,0.714682019,0.001322125
5,2,0,0.625217754,0.168585024
5,2,0.3,0.707762797,0.010866199
5,2,0.1,0.696688939,0.032340314
5,2,0.5,0.712264646,0.004741343
5,2,0.9,0.714338384,0.002740264
5,3,0,0.63384441,0.160390057
5,3,0.3,0.706043432,0.011006169
5,3,0.1,0.709853239,0.009608855
5,3,0.5,0.711916239,0.005200075
5,3,0.9,0.714337191,0.001852353
5,5,0,0.695323947,0.039260812
5,5,0.3,0.706050591,0.012051696
5,5,0.1,0.705339458,0.024341953
5,5,0.5,0.708123136,0.00842108
5,5,0.9,0.71502804,0.001234936
5,8,0,0.713991171,0.002360227
5,8,0.3,0.713303902,0.004798421
5,8,0.1,0.711918625,0.004006388
5,8,0.5,0.713300322,0.003291412
5,8,0.9,0.712951915,0.004004133
5,10,0,0.710876984,0.008735551
5,10,0.3,0.711226584,0.005132058
5,10,0.1,0.709145687,0.015052471
5,10,0.5,0.714682019,0.001322125
5,10,0.9,0.71502804,0.001234936
6,2,0,0.585572127,0.193128288
6,2,0.3,0.704330032,0.012155734
6,2,0.1,0.711570218,0.009347194
6,2,0.5,0.706060136,0.020030099
6,2,0.9,0.71502804,0.001234936
6,3,0,0.678808018,0.048876873
6,3,0.3,0.713989977,0.001967265
6,3,0.1,0.703975659,0.020502176
6,3,0.5,0.711572605,0.005552931
6,3,0.9,0.714335998,0.001315864
6,5,0,0.701915046,0.02768615
6,5,0.3,0.710876984,0.007716709
6,5,0.1,0.707772342,0.011454427
6,5,0.5,0.706748598,0.017803015
6,5,0.9,0.712959074,0.006720172
6,8,0,0.703627252,0.015342163
6,8,0.3,0.711577377,0.006684251
6,8,0.1,0.709494094,0.014144499
6,8,0.5,0.71502804,0.001234936
6,8,0.9,0.71502804,0.001234936
6,10,0,0.712953108,0.003248427
6,10,0.3,0.714335998,0.001315864
6,10,0.1,0.712957881,0.004696234
6,10,0.5,0.714683212,0.004984977
6,10,0.9,0.71502804,0.001234936
7,2,0,0.70364515,0.031238946
7,2,0.3,0.70846677,0.01186599
7,2,0.1,0.698441713,0.022330893
7,2,0.5,0.712263453,0.004296917
7,2,0.9,0.71364515,0.003140904
7,3,0,0.709504832,0.011231309
7,3,0.3,0.706736666,0.009157211
7,3,0.1,0.706735473,0.01462609
7,3,0.5,0.71226226,0.005131985
7,3,0.9,0.714683212,0.001856583
7,5,0,0.702603508,0.018788839
7,5,0.3,0.709162391,0.010863623
7,5,0.1,0.709838921,0.009055928
7,5,0.5,0.71122897,0.004741944
7,5,0.9,0.71502804,0.001975649
7,8,0,0.709837728,0.009093624
7,8,0.3,0.713646343,0.002093518
7,8,0.1,0.711221811,0.011068448
7,8,0.5,0.71261186,0.00429922
7,8,0.9,0.714338384,0.002740264
7,10,0,0.715030426,0.003805671
7,10,0.3,0.714338384,0.002740264
7,10,0.1,0.710538122,0.006554174
7,10,0.5,0.71502804,0.001234936
7,10,0.9,0.714682019,0.001322125
8,2,0,0.613124925,0.16697849
8,2,0.3,0.706400191,0.019782225
8,2,0.1,0.700497554,0.023102557
8,2,0.5,0.710190908,0.008191375
8,2,0.9,0.714335998,0.002031282
8,3,0,0.704649803,0.021518042
8,3,0.3,0.712267033,0.004328833
8,3,0.1,0.698124329,0.030155581
8,3,0.5,0.706395418,0.012129623
8,3,0.9,0.714683212,0.001856583
8,5,0,0.698105238,0.023828753
8,5,0.3,0.71399475,0.004994097
8,5,0.1,0.705347811,0.020023033
8,5,0.5,0.708123136,0.01021309
8,5,0.9,0.714682019,0.001322125
8,8,0,0.702231237,0.017851272
8,8,0.3,0.710198067,0.012662017
8,8,0.1,0.712264646,0.003917394
8,8,0.5,0.713648729,0.004696196
8,8,0.9,0.71502804,0.001234936
8,10,0,0.702582031,0.021633032
