features,layers,momentum,mean_score,std_score,time
9,10,0.1,0.6808173249015631,0.0323980026150813,2500
9,10,0.5,0.69323231118005,0.02463259732889605,1749
9,10,0.9,0.7088127908364157,0.015287078733397488,1162
10,2,0.0,0.584066340532156,0.1421848634954138,3776
10,2,0.3,0.6735306049397447,0.04549539034678855,2886
10,2,0.1,0.6314353895716501,0.11748586349316825,4115
10,2,0.5,0.6701002267032573,0.06040806168003199,2002
10,2,0.9,0.7098413077198424,0.011935500902018103,1378
10,3,0.0,0.6670433122539077,0.039474025482633256,2035
10,3,0.3,0.6739338981028516,0.0455939577367546,2350
10,3,0.1,0.6867235413435151,0.031002072600870036,2870
10,3,0.5,0.6915451616752176,0.030757028314162962,1416
10,3,0.9,0.711915045937239,0.008683762348512541,1785
10,5,0.0,0.6836057749671877,0.026773775373634248,2475
10,5,0.3,0.702566519508412,0.018825950737310825,2804
10,5,0.1,0.679434435031619,0.03782933082682091,2751
10,5,0.5,0.68328123135664,0.03760225315471001,2175
10,5,0.9,0.7063846796325021,0.018452237641726453,1820
10,8,0.0,0.6694451736069682,0.036051902087265955,2850
10,8,0.3,0.6908626655530365,0.020600452844745473,2165
10,8,0.1,0.6763095096050591,0.043229691733571884,1827
10,8,0.5,0.6970325736785586,0.025630202519449988,1802
10,8,0.9,0.7022300441474765,0.016672811199320712,1436
10,10,0.0,0.6794081851807661,0.03835530853409024,1720
10,10,0.3,0.6929292447202003,0.03429861011104699,2167
10,10,0.1,0.6908185180766019,0.029475384943309608,2636
10,10,0.5,0.6818589667104165,0.03640983990696522,1803
10,10,0.9,0.7026011215845365,0.0180727588540644,1108
