features,layers,momentum,mean_score,std_score
3,2,0.1,0.670813745,0.040237072
3,2,0.5,0.713303902,0.003675916
3,2,0.9,0.713989977,0.002942677
3,3,0,0.657336833,0.053814658
3,3,0.3,0.676390646,0.054022957
3,3,0.1,0.687355924,0.066772447
3,3,0.5,0.690169431,0.042324505
3,3,0.9,0.714682019,0.001322125
3,5,0,0.690466531,0.03669738
3,5,0.3,0.704994631,0.011828492
3,5,0.1,0.696010023,0.028182084
3,5,0.5,0.710884143,0.007581301
3,5,0.9,0.71502804,0.001234936
3,8,0,0.691211073,0.024379301
3,8,0.3,0.705371674,0.01835994
3,8,0.1,0.699140914,0.014748895
3,8,0.5,0.707771149,0.014933523
3,8,0.9,0.714337191,0.001852353
3,10,0,0.702590383,0.017014907
3,10,0.3,0.709501253,0.005952241
3,10,0.1,0.684594917,0.049203221
3,10,0.5,0.714683212,0.001856583
3,10,0.9,0.71362804,0.001234936
4,2,0,0.619340174,0.092929937
4,2,0.3,0.652808734,0.115154079
4,2,0.1,0.695360935,0.030107036
4,2,0.5,0.69602792,0.015113525
4,2,0.9,0.713991171,0.001782151
4,3,0,0.670841188,0.082529875
4,3,0.3,0.648013364,0.057030401
4,3,0.1,0.643268106,0.079565172
4,3,0.5,0.667740126,0.05333547
4,3,0.9,0.712268226,0.005684854
4,5,0,0.66389691,0.066966024
4,5,0.3,0.683262141,0.026129943
4,5,0.1,0.661813626,0.067960887
4,5,0.5,0.703979239,0.012380857
4,5,0.9,0.71437406,0.001859373
4,8,0,0.698110011,0.016537966
4,8,0.3,0.696719962,0.018831362
4,8,0.1,0.689807899,0.028465506
4,8,0.5,0.706749791,0.01299398
4,8,0.9,0.71502804,0.001234936
4,10,0,0.691193175,0.033271279
4,10,0.3,0.709501253,0.009245816
4,10,0.1,0.699837728,0.01750846
4,10,0.5,0.71261186,0.00429922
4,10,0.9,0.714682019,0.001322125
5,2,0,0.631413912,0.108486098
5,2,0.3,0.678802052,0.032819894
5,2,0.1,0.678047966,0.047762142
5,2,0.5,0.705006562,0.015195538
5,2,0.9,0.71502804,0.001234936
5,3,0,0.668111204,0.070698831
5,3,0.3,0.708112397,0.009583728
5,3,0.1,0.662941176,0.086039408
