features,layers,momentum,mean_score,std_score,time
2,5,0.5,0.7126058942846916,0.0035248630302038256,2195
2,5,0.9,0.7139899773296742,0.0029426766326790615,603
2,8,0.0,0.7043383844409974,0.01883613339764127,2717
2,8,0.3,0.7150280396134112,0.0012349361651354251,1668
2,8,0.1,0.7074382531917431,0.013101272957411378,1379
2,8,0.5,0.7133039016823768,0.003986286913805915,1545
2,8,0.9,0.7150280396134112,0.0012349361651354251,649
2,10,0.0,0.7143371912659586,0.0018523534265876722,1649
2,10,0.3,0.7143383844409974,0.0022651544289696442,2613
2,10,0.1,0.7119210118124328,0.006009072698104971,2064
2,10,0.5,0.7133039016823768,0.003986286913805915,1726
2,10,0.9,0.7150280396134112,0.0012349361651354251,827
3,2,0.0,0.6679859205345424,0.125261701347834,2248
3,2,0.3,0.7098496599451138,0.009346855682189029,2846
3,2,0.1,0.7150280396134112,0.0012349361651354251,588
3,2,0.5,0.7088187567116095,0.013659182523284323,2357
3,2,0.9,0.7136487292685836,0.0038626282737385573,982
3,3,0.0,0.6670922324304975,0.1261698138555979,2270
3,3,0.3,0.7063954182078511,0.012987656310887618,1577
3,3,0.1,0.7074358668416656,0.01783485616268084,2703
3,3,0.5,0.7129566877460923,0.004511276165255746,2666
3,3,0.9,0.7136487292685836,0.0027902568570882503,765
3,5,0.0,0.6650137215129459,0.12664015200861126,1996
3,5,0.3,0.7108877222288509,0.006948509415598358,1889
3,5,0.1,0.7101885216561269,0.010226707990531067,2135
3,5,0.5,0.7150280396134112,0.0012349361651354251,1149
3,5,0.9,0.7146832120272043,0.0018565834276243471,582
3,8,0.0,0.672468679155232,0.12612957620951254,1996
3,8,0.3,0.7122670325736784,0.005086566765943535,2289
3,8,0.1,0.7095096050590621,0.008283304368815494,3284
3,8,0.5,0.7126130533349242,0.004748553191857239,2324
3,8,0.9,0.7150280396134112,0.0012349361651354251,836
3,10,0.0,0.7129590740961699,0.005112312837219523,1695
3,10,0.3,0.7136487292685836,0.0046961964432550105,1520
3,10,0.1,0.713991170504713,0.0023602269001279296,2411
3,10,0.5,0.7105452809927215,0.00835408437215862,1777
3,10,0.9,0.7133039016823767,0.004798421324950196,1036
4,2,0.0,0.5900548860517837,0.19127738749171894,4253
4,2,0.3,0.7070958119556139,0.014888113827317289,3046
4,2,0.1,0.7026058942846916,0.02432004880272756,3683
4,2,0.5,0.7143359980909199,0.002031281945922031,1663
4,2,0.9,0.7150280396134112,0.0012349361651354251,1020
4,3,0.0,0.6496563655888318,0.12681716960851122,3206
4,3,0.3,0.7091647774728551,0.015806469811645386,3067
4,3,0.1,0.7139899773296742,0.0019672648718446666,1821
4,3,0.5,0.7139935568547905,0.0029925334260788423,2130
4,3,0.9,0.7133039016823768,0.004798421324950197,1095
4,5,0.0,0.7039744660541701,0.020524136382852397,2620
4,5,0.3,0.7050256532633337,0.018762923743876087,2556
4,5,0.1,0.7050005965875192,0.023263831264490865,1837
4,5,0.5,0.7077795012528337,0.014899867114164274,1328
4,5,0.9,0.7139935568547905,0.003702904113607343,828
4,8,0.0,0.7050244600882949,0.020006646884961683,2176
4,8,0.3,0.7126094738098079,0.0035633560758470836,3444
